Category,Sheet,MedicationName,Question,CorrectAnswer,Option_1,Option_2,Option_3,Option_4,Option_5
Antibiotiques,Antibiotiques sachet,Neoclav,"Le médicament ""Neoclav"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Pour favoriser une bonne digestion et l'équilibre intestinal,Pour soulager les brûlures d'estomac et les reflux acides,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Douleurs articulaires ou musculaires inflammatoires,"Gorge, voies respiratoires, infections urinaires"
Antibiotiques,Antibiotiques sachet,Novoclin,"Le médicament ""Novoclin"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Augmentation du taux de testostérone chez les hommes en déficit.,Mycoses de la peau,Pour traiter les mycoses vaginales,Pour soutenir la santé de la peau
Antibiotiques,Antibiotiques sachet,Saphir,"Le médicament ""Saphir"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Anti-hemorroidaire,"Lourdeur et pesanteur des jambes, sensation de chaleur des jambes, mauvaise circulation (Atténue les imperfections disgracieuses des petits vaisseaux apparents)",Pour réguler le cycle menstruel,"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Rougeurs ou irritations de la peau sensible chez les bébés.
Antibiotiques,Antibiotiques sachet,Soclav,"Le médicament ""Soclav"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives","10%: Acné vulgaire | 2,5% et 5% seront préférentiellement utilisés dans les cas de peau fragile.",Pour soulager la douleur et l'inflammation des articulations,Digestion,Pour contrôler le taux de sucre dans le sang (diabète),"Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives"
Antibiotiques,Antibiotiques sachet,Zamox,"Le médicament ""Zamox"" est indiqué pour?","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives","Infections respiratoires (comme angines, sinusites, bronchites), Infections ORL (oreilles, gorge, nez. Infections urinaires Infections de la peau (abcès, furoncles), Infections dentaires, Certaines infections digestives",Toux avec effet sedatif,"Peau, gorge, infections respiratoires",Forte congestion | Nez - Sinus,"Traite les problèmes vaginaux d'origine bactérienne, Diminue les écoulements et odeurs désagréables, Agit immédiatement contre les démangeaisons et irritations, Optimise la flore vaginale"
Antibiotiques,Antibiotiques sachet,Olipen,"Le médicament ""Olipen"" est indiqué pour?","Infections respiratoires, ORL, pulmonaires et dentaires.",Brûlures d’estomac chroniques (sur avis médical).,"Infections respiratoires, ORL, pulmonaires et dentaires.",Douleurs articulaires ou musculaires inflammatoires,Calmer l’inflammation et les démangeaisons de la peau,Pour améliorer l'apport en énergie au cœur
Antibiotiques,Antibiotiques sirop,Amoxil,"Le médicament ""Amoxil"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires","Gorge, voies respiratoires, infections urinaires",Appétit,Douleurs inflammatoires aiguës (crises de goutte),Gorge (angine),"Rétablir la flore intestinale (ex. après antibiotiques, diarrhée, ballonnements)."
Antibiotiques,Antibiotiques sirop,Aximycine,"Le médicament ""Aximycine"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires","Gorge, voies respiratoires, infections urinaires","Douleurs et gonflements (entorses, foulures)","Douleurs légères, fièvre, ou prévention des caillots (sur avis médical).","Douleurs légères à modérées (maux de tête, courbatures) et fièvre (la caféine peut aider contre la fatigue).","Soulagement des dermatoses aiguës ou chroniques répondant aux corticostéroïdes en réduisant l'inflammation, les démangeaisons et les rougeurs associées à ces conditions."
Antibiotiques,Antibiotiques sirop,Clamoxyl,"Le médicament ""Clamoxyl"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires","Gorge, voies respiratoires, infections urinaires",Pour baisser la tension artérielle et réduire le cholestérol,"Infections staphylococciques : peau, plaies, poumons (fibrose kystique, pneumonie).","Douleurs légères (maux de tête, fièvre).","Rétablir la flore intestinale (ballonnements, transit irrégulier)."
Antibiotiques,Antibiotiques sirop,Dispamox,"Le médicament ""Dispamox"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires",Douleurs sévères (crises rhumatismales),Pour traiter les infections vaginales mixtes (bactériennes et fongiques),"Gorge, voies respiratoires, infections urinaires",Pour soutenir la santé des articulations,Pour baisser la tension artérielle et protéger le cœur
Antibiotiques,Antibiotiques sirop,Neomox,"Le médicament ""Neomox"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires","Douleurs et inflammations (lombalgie, traumatismes)",Détente musculaire et réduction des spasmes douloureux.,Toux (Compliment allimentaire),"Virus (herpès, zona)","Gorge, voies respiratoires, infections urinaires"
Antibiotiques,Antibiotiques sirop,Starmox,"Le médicament ""Starmox"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires","Gorge, voies respiratoires, infections urinaires",Diverses affections cutanées et des démangeaisons.,Pour améliorer l'énergie et la récupération musculaire,"Gel anti-douleurs (Articulations douloureuses, courbatures, lumbagos, torticolis.",Antiasthmatique
Antibiotiques,Antibiotiques sirop,Streptocid,"Le médicament ""Streptocid"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires",Pour soulager les spasmes,"Gorge, voies respiratoires, infections urinaires","GEL: Effet frais | Soulage, apaise, rafraichit.",Préparation intestinale avant un examen médical (usage ponctuel).,Renforcement immunitaire en période hivernale.
Antibiotiques,Antibiotiques sirop,Aclav,"Le médicament ""Aclav"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau","Large spectre, sinus, poumons, peau",Pour réguler le cycle menstruel ou traiter un déficit en progestérone,Douleurs sévères (crises rhumatismales),Troubles de la circulation veineuse et dans la crise hémorroïdaire,Stimule le transit
Antibiotiques,Antibiotiques sirop,Augmentin,"Le médicament ""Augmentin"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Pour traiter les infections vaginales mixtes (bactériennes et fongiques),Pour traiter ou prévenir les infections vaginales,Antidouleur | Antioxydant,"Large spectre, sinus, poumons, peau",Pour neutraliser l'excès d'acidité de l'estomac
Antibiotiques,Antibiotiques sirop,Biotic Plus,"Le médicament ""Biotic Plus"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau","Large spectre, sinus, poumons, peau",Hémorroïdes (soulagement rapide de la douleur),Traitement local d'appoint des ulcérations cutanées.,"Infections urinaires, respiratoires + fluidification des sécrétions bronchiques.",Mycoses de la peau
Antibiotiques,Antibiotiques sirop,Clavulin,"Le médicament ""Clavulin"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Réduction de la douleur et de l'inflammation.,Pour stimuler la circulation locale,Diarrhée légère ou irritation intestinale.,"Large spectre, sinus, poumons, peau",Pour traiter les problèmes hormonaux (acné sévère et pilosité excessive)
Antibiotiques,Antibiotiques sirop,Co-Amoxiclav,"Le médicament ""Co-Amoxiclav"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Augmentation du taux de testostérone chez les hommes en déficit.,Pour réduire le cholestérol dans le sang,"Hémorroïdes (démangeaisons, gonflement)","Symptômes grippaux (fièvre, congestion, douleurs).","Large spectre, sinus, poumons, peau"
Antibiotiques,Antibiotiques sirop,Ecoclav,"Le médicament ""Ecoclav"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau","Large spectre, sinus, poumons, peau","Inflammations aiguës (bursite, épicondylite)",Soins préventifs des mamelons pendant la grossesse et l'allaitement,Augmentation du taux de testostérone chez les hommes en déficit.,"nfections fongiques de la vulve et du vagin causées par des champignons microscopiques, comme les mycoses vulvo-vaginales."
Antibiotiques,Antibiotiques sirop,Levamox,"Le médicament ""Levamox"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau","Large spectre, sinus, poumons, peau",Pour réduire l'inflammation et les réactions allergiques,"Dents, infections digestives","Traitement des infections bactériennes, en particulier celles dues aux staphylocoques.","Agent antiprurigineux et antiallergique. En cas de brûlures, de coups de soleil et de piqúres d'insectes."
Antibiotiques,Antibiotiques sirop,Maxiclav,"Le médicament ""Maxiclav"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Gorge (angine),Pour prévenir la formation de caillots sanguins,"Articulations, muscles & tendons.",Gel oral pour anesthesie de contact.,"Large spectre, sinus, poumons, peau"
Antibiotiques,Antibiotiques sirop,Neoclav,"Le médicament ""Neoclav"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau","Large spectre, sinus, poumons, peau",Fort - Nez bouché | Kids - Hygiène nasale,"Hémorroïdes, fissures anales, irritation et démangeaisons.",Pour soulager les symptômes du rhume et de la grippe | Antihistaminique et antiallergique,"Dermocorticoïde d’activité forte (Eczéma, psoriasis, démangeaisons, piqûres d’insectes, lupus…)"
Antibiotiques,Antibiotiques sirop,Novoclin,"Le médicament ""Novoclin"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Paracetamol (Rhume),Pour traiter certains cancers du sein,"Plaie, abcès, furoncles, anthrox.",Gorge (angine),"Large spectre, sinus, poumons, peau"
Antibiotiques,Antibiotiques sirop,Saphir,"Le médicament ""Saphir"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Calmer l’inflammation et les démangeaisons de la peau,Pour soulager les symptômes d'allergies,"Douleur modérée à intense (ex. blessures, douleurs post-opératoires) quand le paracétamol seul ne suffit pas (éviter un usage prolongé, risque de constipation).","Large spectre, sinus, poumons, peau",Pour faciliter la digestion et réduire les nausées
Antibiotiques,Antibiotiques sirop,Soclav,"Le médicament ""Soclav"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Rougeurs ou irritations de la peau sensible chez les bébés.,Pour aider à rétablir l'équilibre en potassium et neutraliser l'acidité,Soulagement des nausées et amélioration de la digestion.,"Large spectre, sinus, poumons, peau",Antifongique a large spectre d'action.
Antibiotiques,Antibiotiques sirop,Zamox,"Le médicament ""Zamox"", composé de ""Amoxicilline | Acide clavulanique"", est indiqué pour?","Large spectre, sinus, poumons, peau",Articulations.,"Large spectre, sinus, poumons, peau","Traitement des infections bactériennes, en particulier celles dues aux staphylocoques.","Antifongique, antibacterien","Fatigue musculaire, stress."
Antibiotiques,Antibiotiques sirop,Azimax,"Le médicament ""Azimax"", composé de ""Azithromycine"", est indiqué pour?","Gorge, poumons, infections génitales",Crème antiseptique,"Soulage le système gastro-intestinal en cas de Flatulences, Ballonnements, Inconfort.",Antidouleur | Antioxydant,"Gorge, poumons, infections génitales",Infections de la peau provoquées par une bactérie appartenant à la famille des staphylocoques.
Antibiotiques,Antibiotiques sirop,Azix,"Le médicament ""Azix"", composé de ""Azithromycine"", est indiqué pour?","Gorge, poumons, infections génitales","Intestins (diarrhée, SIBO)","Irritations et rougeurs | Après peeling, épilation et laser | Lésions superficielles: gerçures, écorchures, abrasions, éruptions, brûlures du 1° et 2eme degré, coupures superficielles | Lésions profondes : lésions chirurgicales, plaies de décubitus et ulcères",Hémostatique et cicatrisante.,"Gorge, poumons, infections génitales",Aide digestif naturel
Antibiotiques,Antibiotiques sirop,Macromax,"Le médicament ""Macromax"", composé de ""Azithromycine"", est indiqué pour?","Gorge, poumons, infections génitales","Brûlures d’estomac, reflux acide.","Gorge, poumons, infections génitales","Mycoses cutanées, ongles","Mycoses de la peau et des ongles, pied d’athlète, teigne, infections fongiques.",Antiacide
Antibiotiques,Antibiotiques sirop,Alfatil,"Le médicament ""Alfatil"", composé de ""Céfaclor"", est indiqué pour?","Gorge, poumons, infections urinaires",Soulage les irritations articulaires et musculaires| Relaxant,Stimule le transit et les sécrétions intestinales | Améliore la fonction digestive.,"Gorge, poumons, infections urinaires","Anti-inflammatoire (Douleurs musculaires et articulaires, entorses, contusions, arthrose.)","Mycoses, infections fongiques"
Antibiotiques,Antibiotiques sirop,Cloracef,"Le médicament ""Cloracef"", composé de ""Céfaclor"", est indiqué pour?","Gorge, poumons, infections urinaires","Douleurs légères, fièvre, ou prévention des caillots sanguins (sur avis médical uniquement) (éviter chez les enfants et en cas de grippe).","Intestins (diarrhée, SIBO)","Douleurs inflammatoires (arthrite, douleurs musculaires) (usage court).",Pour favoriser une bonne digestion et l'équilibre intestinal,"Gorge, poumons, infections urinaires"
Antibiotiques,Antibiotiques sirop,Orex,"Le médicament ""Orex"", composé de ""Céfaléxine"", est indiqué pour?","Gorge, poumons, infections urinaires","Gorge, poumons, infections urinaires",Pour traiter les symptômes d'une vessie hyperactive,"Inconfort digestif
 (ex. brûlures d’estomac,
 ballonnements, digestion difficile).","Psoriasis, lichen, lupus, cicatrices épaisses.","Anti inflammatoire, antalgique (Traumatismes bénins comme les entorses et les contusions, soulager les douleurs musculaires et tendino-ligamentaires, et pour les poussées douloureuses de l'arthrose)"
Antibiotiques,Antibiotiques sirop,Cefico,"Le médicament ""Cefico"", composé de ""Cefixime"", est indiqué pour?","Gorge, poumons, infections urinaires",Appétit (Complément alimentaire),Forte congestion | Nez - Sinus,Réduction de l'inflammation et soulagement des réactions allergiques.,Calmer l’inflammation et les démangeaisons de la peau,"Gorge, poumons, infections urinaires"
Antibiotiques,Antibiotiques sirop,Oroken,"Le médicament ""Oroken"", composé de ""Cefixime"", est indiqué pour?","Gorge, poumons, infections urinaires",Irritations de la peau.,Infections cutanées fongiques (ex. mycoses).,Réduction de l'anxiété | Détente musculaire.,Gestion des maladies auto-immunes et de certains cancers.,"Gorge, poumons, infections urinaires"
Antibiotiques,Antibiotiques sirop,Ofiken,"Le médicament ""Ofiken"", composé de ""Cefixime"", est indiqué pour?","Gorge, poumons, infections urinaires",Crème chauffante,Paracetamol (Rhume),Pour améliorer l'apport en énergie au cœur et réduire les symptômes d'angine,"Ballonnements, gaz intestinaux.","Gorge, poumons, infections urinaires"
Antibiotiques,Antibiotiques sirop,Orelox,"Le médicament ""Orelox"", composé de ""Cefpodoxime"", est indiqué pour?","Gorge, poumons, infections urinaires",Pour soutenir le métabolisme du glucose et le système nerveux,"Gorge, poumons, infections urinaires",Pour soulager l'irritation nasale,Massage musculaire et articulaire,"Douleurs légères à modérées (maux de dents, règles)."
Antibiotiques,Antibiotiques sirop,Astaph,"Le médicament ""Astaph"", composé de ""Flucloxacilline"", est indiqué pour?","Peau, infections staphylococciques","Peau, infections staphylococciques",Pour prévenir le mal d'altitude,"Poumons, infections urinaires",Pour enfants (Nez-Gorge),Antiparasitaire
Antibiotiques,Antibiotiques sirop,Floxam,"Le médicament ""Floxam"", composé de ""Flucloxacilline"", est indiqué pour?","Peau, infections staphylococciques","Peau, infections staphylococciques",Pour aider à contrôler l'asthme et les allergies,"Antifongique (Dermatomycoses dues à des dermatophytes du genre Trichophyton | des levures, principalement du genre Candida)",Pour traiter l'insuffisance cardiaque,Pour réduire l'inflammation et calmer les allergies
Antibiotiques,Antibiotiques sirop,Flustaph,"Le médicament ""Flustaph"", composé de ""Flucloxacilline"", est indiqué pour?","Peau, infections staphylococciques","Traitement d'infections bactériennes, notamment la syphilis.","Brûlures d’estomac, reflux acide.",Appétit,"Plaie, abcès, furoncles, anthrox.","Peau, infections staphylococciques"
Antibiotiques,Antibiotiques sirop,Flupen,"Le médicament ""Flupen"", composé de ""Flucloxacilline"", est indiqué pour?","Peau, infections staphylococciques",Appétit,"Peau, infections staphylococciques","Infections respiratoires, ORL, pulmonaires et dentaires.","Symptômes grippaux (fièvre, congestion, douleurs).",Pour aider à réguler le calcium et renforcer les os
Antibiotiques,Antibiotiques sirop,Penistaph,"Le médicament ""Penistaph"", composé de ""Flucloxacilline"", est indiqué pour?","Peau, infections staphylococciques",Aide à la coagulation du sang et prévention des saignements.,Traitement des carences en fer et de l'anémie ferriprive.,Antifongique a large spectre d'action.,"Peau, infections staphylococciques",Pour prévenir les caillots
Antibiotiques,Antibiotiques sirop,Flagyl,"Le médicament ""Flagyl"", composé de ""Métronidazole"", est indiqué pour?","Digestif, gynécologique, dents","Protectrice, adoucissante, cicatrisante.","Troubles légers du sommeil, irritabilité, nervosité.","10%: Acné vulgaire | 2,5% et 5% seront préférentiellement utilisés dans les cas de peau fragile.","Digestif, gynécologique, dents",Toux (Compliment allimentaire)
Antibiotiques,Antibiotiques sirop,Metrozal,"Le médicament ""Metrozal"", composé de ""Métronidazole"", est indiqué pour?","Digestif, gynécologique, dents",Pour réguler le rythme cardiaque,Pour aider à réduire l'inflammation,"Carence sévère en vitamine D, uniquement sur prescription médicale.","Douleurs (maux de tête, douleurs dentaires) et fièvre (effet stimulant de la caféine).","Digestif, gynécologique, dents"
Antibiotiques,Antibiotiques sirop,Zyrdol,"Le médicament ""Zyrdol"", composé de ""Métronidazole"", est indiqué pour?","Digestif, gynécologique, dents","Aide à la coagulation du sang, surtout chez les enfants, pour prévenir les saignements.","Digestif, gynécologique, dents","Hémorroïdes (démangeaisons, gonflement)",Améliore la mobilité,"Irritations cutanées, Érythème fessier du nourrisson (fesses rouges)."
Antibiotiques,Antibiotiques sirop,Thiobactin,"Le médicament ""Thiobactin"", composé de ""Thiamphénicol"", est indiqué pour?","Large spectre, infections respiratoires",Souplesses musculaire et articulaire.,"Large spectre, infections respiratoires",Crème chauffante,Régénère le Microbiote Vaginal,Traiter et prévenir les caillots sanguins
Antibiotiques,Antibiotiques sirop,Bactrim,"Le médicament ""Bactrim"", composé de ""Triméthoprime | Sulfaméthoxazole"", est indiqué pour?","Urinaire, poumons","Douleurs inflammatoires (arthrose, tendinite)",Affections cutanées non infectées qui répondent à la corticothérapie locale.,"Crème apaisante, reparatrice, hydrantante.","Baume pectoral, de massage et confort, aux effets apaisants.","Urinaire, poumons"
Antibiotiques,Antibiotiques sirop,Co-Trim,"Le médicament ""Co-Trim"", composé de ""Triméthoprime | Sulfaméthoxazole"", est indiqué pour?","Urinaire, poumons",Pour traiter certaines maladies du sang,Pour soutenir la santé des os et des articulations,"Douleurs légères, fièvre, ou prévention des caillots sanguins (sur avis médical uniquement) (éviter chez les enfants et en cas de grippe).","Pour soulager la douleur, la fièvre et prévenir les caillots","Urinaire, poumons"
Antibiotiques,Antibiotiques sirop,Trisium,"Le médicament ""Trisium"", composé de ""Triméthoprime | Sulfaméthoxazole | Bromhexine"", est indiqué pour?","Infections urinaires, respiratoires + fluidification des sécrétions bronchiques.",Pour soulager la douleur et prévenir les caillots,Antiémétiques (vomissement),Pour traiter les problèmes hormonaux (acné sévère et pilosité excessive),"Infections urinaires, respiratoires + fluidification des sécrétions bronchiques.",Pour soulager les spasmes de la vessie
Antibiotiques,Antibiotiques comprimé,Coccidin,"Le médicament ""Coccidin"", composé de ""Acide fucidique"", est indiqué pour?",Peau,Renforcement osseux ou carence en calcium/vitamine D.,Pour détendre les muscles et réduire les spasmes,Peau,"Infections staphylococciques : peau, plaies, poumons (fibrose kystique, pneumonie).",Toux grasse (fluidifie le mucus).
Antibiotiques,Antibiotiques comprimé,Amoxil,"Le médicament ""Amoxil"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires",Rougeurs ou irritations de la peau sensible chez les bébés.,Psoriasis,Pour aider à la digestion,Gestion des maladies auto-immunes et de certains cancers.,"Gorge, voies respiratoires, infections urinaires"
Antibiotiques,Antibiotiques comprimé,Aximycine,"Le médicament ""Aximycine"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires","Anti-inflamatoire, antalgique - application locale (Ibuprofène)","Gorge, voies respiratoires, infections urinaires",Pour soulager la sécheresse et l'atrophie vaginale liée à la ménopause,"Poumons, infections urinaires","Anti inflammatoire, antalgique (Traumatismes bénins comme les entorses et les contusions, soulager les douleurs musculaires et tendino-ligamentaires, et pour les poussées douloureuses de l'arthrose)"
Antibiotiques,Antibiotiques comprimé,Clamoxyl,"Le médicament ""Clamoxyl"", composé de ""Amoxicilline"", est indiqué pour?","Gorge, voies respiratoires, infections urinaires",Pour soulager les spasmes et douleurs digestives,"Virus (herpès, zona)",Favorise l'élimination des gaz et facilite le transit intestinal,"Psoriasis, lupus, lichen, cicatrices épaisses.","Gorge, voies respiratoires, infections urinaires"
